Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
ELGIEQUIP,Elgi Equipments Limited,1388536.8536039998
ISEC,ICICI Securities Limited,1382035.301143
CGCL,Capri Global Capital Limited,1362979.528106
GODREJIND,Godrej Industries Limited,1359513.6008945
CLEAN,Clean Science and Technology Limited,1346985.756981
MAZDOCK,Mazagon Dock Shipbuilders Limited,1337305.545
MAHINDCIE,Mahindra CIE Automotive Limited,1330803.218516
AEGISCHEM,Aegis Logistics Limited,1330114.5
FACT,Fertilizers and Chemicals Travancore Limited,1329085.8345960001
BLUESTARCO,Blue Star Limited,1328312.986352
SANOFI,Sanofi India Limited,1320898.294188
FINEORG,Fine Organic Industries Limited,1320494.5063439999
AFFLE,Affle (India) Limited,1315321.21326
GLENMARK,Glenmark Pharmaceuticals Limited,1311235.420932
NAM-INDIA,Nippon Life India Asset Management Limited,1308980.0180215
SJVN,SJVN Limited,1306656.8956875
REDINGTON,Redington Limited,1302471.0248715
AAVAS,Aavas Financiers Limited,1273408.597955
IDFC,IDFC Limited,1256787.7744780001
FINCABLES,Finolex Cables Limited,1242785.11747
NUVOCO,Nuvoco Vistas Corporation Limited,1231831.571697
BAJAJELEC,Bajaj Electricals Limited,1210480.636122
APTUS,Aptus Value Housing Finance India Limited,1209715.4796789999
SUVENPHAR,Suven Pharmaceuticals Limited,1202564.852144
ASTERDM,Aster DM Healthcare Limited,1202327.93542
RHIM,RHI MAGNESITA INDIA LIMITED,1184940.874293
KEC,KEC International Limited,1173222.776495
SONATSOFTW,Sonata Software Limited,1172596.3681039999
AETHER,Aether Industries Limited,1166105.1575255
DCMSHRIRAM,DCM Shriram Limited,1165512.720304
IEX,Indian Energy Exchange Limited,1140920.8544325
HAPPSTMNDS,Happiest Minds Technologies Limited,1127691.814746
KIMS,Krishna Institute of Medical Sciences Limited,1121549.4209115
ALKYLAMINE,Alkyl Amines Chemicals Limited,1101422.935912
CYIENT,Cyient Limited,1100497.747215
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099204.937132
ASAHIINDIA,Asahi India Glass Limited,1099131.1230165
CASTROLIND,Castrol India Limited,1097431.285048
BRIGADE,Brigade Enterprises Limited,1095283.147297
KALYANKJIL,Kalyan Jewellers India Limited,1085160.8955495
TTML,Tata Teleservices (Maharashtra) Limited,1084007.4246214998
VGUARD,V-Guard Industries Limited,1080457.9458795
NLCINDIA,NLC India Limited,1069790.1438435002
LAXMIMACH,Lakshmi Machine Works Limited,1066409.109
TRITURBINE,Triveni Turbine Limited,1059006.9356595
FINPIPE,Finolex Industries Limited,1058533.59993
AKZOINDIA,Akzo Nobel India Limited,1047677.6937269999
MANAPPURAM,Manappuram Finance Limited,1046990.279773
EIHOTEL,EIH Limited,1035915.7674830001
CENTURYPLY,Century Plyboards (India) Limited,1035770.47938
NATCOPHARM,Natco Pharma Limited,1028435.7890275
KIOCL,KIOCL Limited,1024364.4723080001
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1022732.489324
CAMPUS,Campus Activewear Limited,1015519.3645739999
CAMS,Computer Age Management Services Limited,995035.437962
AMARAJABAT,Amara Raja Batteries Limited,989175.1875
ZYDUSWELL,Zydus Wellness Limited,986489.1284319999
BASF,BASF India Limited,985008.02384
TEJASNET,Tejas Networks Limited,977791.34904
APLLTD,Alembic Pharmaceuticals Limited,975641.0659739999
MGL,Mahanagar Gas Limited,971430.0577410001
GRINFRA,G R Infraprojects Limited,971337.79446
ANGELONE,Angel One Limited,970011.5494614999
SFL,Sheela Foam Limited,969704.657424
TTKPRESTIG,TTK Prestige Limited,969119.92083
APARINDS,Apar Industries Limited,958590.6373310001
HINDCOPPER,Hindustan Copper Limited,951068.12367
CDSL,Central Depository Services (India) Limited,949643.75
GODFRYPHLP,Godfrey Phillips India Limited,946159.3592
RENUKA,Shree Renuka Sugars Limited,938663.989893
CUB,City Union Bank Limited,931814.0205225
JKLAKSHMI,JK Lakshmi Cement Limited,931240.9023239999
ANURAS,Anupam Rasayan India Limited,929945.0632094999
MRPL,Mangalore Refinery and Petrochemicals Limited,920990.6573135001
GESHIP,The Great Eastern Shipping Company Limited,920205.7362255
POLYMED,Poly Medicure Limited,914013.774063
NSLNISP,NMDC Steel Limited,909953.116425
BIKAJI,Bikaji Foods International Limited,904722.82488
MOTILALOFS,Motilal Oswal Financial Services Limited,902921.309978
ABSLAMC,Aditya Birla Sun Life AMC Limited,896256
CESC,CESC Limited,883492.691595
TATAINVEST,Tata Investment Corporation Limited,882736.129312
ALLCARGO,Allcargo Logistics Limited,873816.131106
KALPATPOWR,Kalpataru Power Transmission Limited,867868.56706
PNBHOUSING,PNB Housing Finance Limited,866321.218092
HUDCO,Housing & Urban Development Corporation Limited,865821.75
ITI,ITI Limited,856043.982828
ROUTE,ROUTE MOBILE LIMITED,852911.901003
RITES,RITES Limited,851990.3403585
VTL,Vardhman Textiles Limited,849166.14585
RBLBANK,RBL Bank Limited,845960.9058930001
HFCL,HFCL Limited,839743.6966494999
KARURVYSYA,Karur Vysya Bank Limited,837095.730696
CERA,Cera Sanitaryware Limited,832772.615157
EIDPARRY,EID Parry India Limited,832024.9490169999
INGERRAND,Ingersoll Rand (India) Limited,826750.136
GALAXYSURF,Galaxy Surfactants Limited,825882.993088
PPLPHARMA,Piramal Pharma Limited,816826.51325
UTIAMC,UTI Asset Management Company Limited,815164.325657
KRBL,KRBL Limited,813978.246536
RAYMOND,Raymond Limited,813564.2796855001
ASTRAZEN,AstraZeneca Pharma India Limited,813200
VIPIND,VIP Industries Limited,811259.530845
ACI,Archean Chemical Industries Limited,800398.1669505
BALRAMCHIN,Balrampur Chini Mills Limited,799363.0340675
SUZLON,Suzlon Energy Limited,795773.879557
GODREJAGRO,Godrej Agrovet Limited,793047.99303
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,791625.5712105001
ERIS,Eris Lifesciences Limited,778011.593598
PGHL,Procter & Gamble Health Limited,777855.3402110001
MEDPLUS,Medplus Health Services Limited,775128.976972
SAPPHIRE,Sapphire Foods India Limited,774011.691921
DATAPATTNS,Data Patterns (India) Limited,770171.461533
SUNCLAYLTD,Sundaram Clayton Limited,762425.89114
JBMA,JBM Auto Limited,761511.53652
EASEMYTRIP,Easy Trip Planners Limited,757907.52
CCL,CCL Products (India) Limited,755132.98788
EQUITASBNK,Equitas Small Finance Bank Limited,745184.5213339999
CHALET,Chalet Hotels Limited,744547.7936160001
RAINBOW,Rainbow Childrens Medicare Limited,741469.823535
PNCINFRA,PNC Infratech Limited,741141.647685
FSL,Firstsource Solutions Limited,735325.32143
KSB,Ksb Limited,729154.7161119999
BSOFT,BIRLASOFT LIMITED,717824.4334905001
KNRCON,KNR Constructions Limited,713492.1802
SHOPERSTOP,Shoppers Stop Limited,711340.3555125
SYMPHONY,Symphony Limited,709468.9155
CENTURYTEX,Century Textiles & Industries Limited,708150.6112
CANFINHOME,Can Fin Homes Limited,704651.6295
GRANULES,Granules India Limited,703618.291692
TANLA,Tanla Platforms Limited,703249.8680025
JYOTHYLAB,Jyothy Labs Limited,699532.46682
SPLPETRO,Supreme Petrochem Limited,696317.089426
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692666.945775
CRAFTSMAN,Craftsman Automation Limited,687789.907983
BIRLACORPN,Birla Corporation Limited,685501.598994
BLS,BLS International Services Limited,680728.74
SHYAMMETL,Shyam Metalics and Energy Limited,670479.5884080001
NCC,NCC Limited,666145.229868
GMMPFAUDLR,GMM Pfaudler Limited,659072.90384
LATENTVIEW,Latent View Analytics Limited,657938.735766
USHAMART,Usha Martin Limited,653671.1181
HOMEFIRST,Home First Finance Company India Limited,653568.5033585
JKPAPER,JK Paper Limited,646608.747048
TMB,Tamilnad Mercantile Bank Limited,645440.5265040001
JINDWORLD,Jindal Worldwide Limited,643169.183
METROPOLIS,Metropolis Healthcare Limited,639262.718712
SAREGAMA,Saregama India Limited,638488.626135
NBCC,NBCC (India) Limited,638100
ECLERX,eClerx Services Limited,632623.24544
BALAMINES,Balaji Amines Limited,629648.633
WELSPUNIND,Welspun India Limited,628899.225066
PRAJIND,Praj Industries Limited,626461.63008
COCHINSHIP,Cochin Shipyard Limited,625803.405425
ZENSARTECH,Zensar Technologies Limited,621067.066314
AMBER,Amber Enterprises India Limited,614775.815826
LEMONTREE,Lemon Tree Hotels Limited,612010.39344
PRINCEPIPE,Prince Pipes And Fittings Limited,599793.853575
TRIVENI,Triveni Engineering & Industries Limited,593541.840232
GARFIBRES,Garware Technical Fibres Limited,593035.2851535
